text_tokens;tags;polarities
['Buen', 'servicio', ',', 'ambiente', 'Acogedor', 'y', 'tranquilo', ',', 'comida', 'bien', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0];[-1, 1, -1, 1, -1, -1, -1, -1, 1, -1, -1]
['La', 'atención', 'es', 'muy', 'buena', ',', 'los', 'camareros', 'estan', 'muy', 'pendientes', 'de', 'uno', 'todo', 'el', 'tiempo', '.'];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Y', 'la', 'comida', 'espectacular', ',', 'por', 'eso', 'lo', 'bueno', 'se', 'paga', '...'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Lo', 'unico', 'que', 'vi', 'flojo', 'es', 'que', 'pedi', 'un', 'poco', 'de', 'salsa', 'provenzal', 'y', 'nos', 'la', 'cobraron', ',', 'por', 'lo', 'demas', 'todo', 'bien', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Las', 'carnes', 'bien', ',', 'pero', 'como', 'muchas', 'otras', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, 2, -1, -1, -1, -1, -1, -1, -1]
['El', 'precio', ',', 'por', 'lo', 'que', 'es', 'la', 'comida', ',', 'para', 'mi', 'gusto', 'es', 'elevado', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]
['la', 'calidad', 'del', 'producto', ',', 'el', 'servicio', ',', 'el', 'entorno', 'todo', 'fue', 'excelente'];[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0];[-1, -1, -1, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1]
['9reinas', 'ya', 'sido', 'una', 'de', 'las', 'mejores', 'experiencias', 'que', 'hemos', 'tenido', 'en', 'los', 'últimos', 'años', '.'];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['El', 'servicio', 'es', 'muy', 'bueno', 'y', 'la', 'calidad', 'de', 'la', 'comida', 'al', 'mismo', 'nivel', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]
['Los', 'precios', 'adecuados', 'y', 'bien', 'puedes', 'hacer', 'un', 'mayor', 'o', 'menor', 'gasto', 'en', 'función', 'de', 'tu', 'bolsillo', 'por', 'que', 'la', 'carta', 'es', 'muy', 'amplia', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]
